ticker,title,content,published_date,source,sentiment_score
MCD,"McDonald's Reports Q1 Revenue of $55.1B, Beating Expectations","McDonald's announced Q1 2020 revenue of $55.1 billion, surpassing analyst estimates. The company reported earnings per share of $9.35, above consensus. Management raised full-year guidance citing strong demand.",2020-01-09,Barron's,0.42
JPM,Citigroup Cuts JPMorgan Price Target to $128,"Citigroup analyst cuts JPMorgan (JPM) price target to $128, citing margin compression. The firm maintains a Underweight rating on the stock.",2020-01-10,TheStreet,-0.36
NVDA,Nvidia Faces Challenges from Semiconductor Demand,Nvidia (NVDA) faces headwinds from semiconductor demand. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-13,Business Insider,-0.51
TSLA,Tesla Shares Rally 3.1% on Global Trade Optimism,Tesla (TSLA) shares rallyed 3.1% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-13,Barron's,0.57
PYPL,Wedbush Cuts PayPal Price Target to $283,"Wedbush analyst cuts PayPal (PYPL) price target to $283, citing slowing growth. The firm maintains a Sell rating on the stock.",2020-01-13,Benzinga,-0.58
PLTR,KeyBanc Raises Palantir Price Target to $338,"KeyBanc analyst raises Palantir (PLTR) price target to $338, citing AI tailwinds. The firm maintains a Overweight rating on the stock.",2020-01-13,Wall Street Journal,0.5
UBER,Uber Positioned to Benefit from Ai Revolution,Analysts see Uber (UBER) as well-positioned to benefit from AI revolution. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2020-01-13,Reuters,0.17
BAC,"Bank of America Launches Blockchain Initiative, Shares Gain","Bank of America unveiled its new blockchain initiative at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Bank of America's strategic growth priorities.",2020-01-13,The Motley Fool,0.64
MA,Mastercard Faces Challenges from Digital Payments Growth,Mastercard (MA) faces headwinds from digital payments growth. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-13,The Motley Fool,-0.19
C,"Citigroup Reports Q1 Revenue of $54.0B, Beating Expectations","Citigroup announced Q1 2020 revenue of $54.0 billion, surpassing analyst estimates. The company reported earnings per share of $11.71, above consensus. Management raised full-year guidance citing strong demand.",2020-01-13,Benzinga,0.33
AXP,American Express Faces Challenges from Banking Regulation,American Express (AXP) faces headwinds from banking regulation. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-13,Wall Street Journal,-0.11
UNH,UnitedHealth Shares Surge 2.4% on Institutional Investors Increase Equity Allocation,UnitedHealth (UNH) shares surgeed 2.4% following institutional investors increase equity allocation. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-13,Seeking Alpha,0.71
TMO,Thermo Fisher Shares Climb 5.1% on Global Trade Optimism,Thermo Fisher (TMO) shares climbed 5.1% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-13,TechCrunch,0.23
GILD,"Gilead Sciences Reports Q1 Revenue of $29.4B, Beating Expectations","Gilead Sciences announced Q1 2020 revenue of $29.4 billion, surpassing analyst estimates. The company reported earnings per share of $5.2, above consensus. Management raised full-year guidance citing strong demand.",2020-01-13,Forbes,0.39
CVX,"Chevron Raises Dividend by 6%, Announces $38B Buyback",Chevron increased its quarterly dividend by 6% and authorized a $38 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-13,Seeking Alpha,0.68
OXY,Goldman Sachs Increases Occidental Petroleum Price Target to $82,"Goldman Sachs analyst increases Occidental Petroleum (OXY) price target to $82, citing strong growth outlook. The firm maintains a Outperform rating on the stock.",2020-01-13,AP News,0.51
WMT,Walmart Shares Gain 1.2% on Strong Jobs Data,Walmart (WMT) shares gained 1.2% following strong jobs data. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-13,Barron's,0.53
GE,GE Aerospace Faces Challenges from Supply Chain Modernization,GE Aerospace (GE) faces headwinds from supply chain modernization. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-13,TechCrunch,-0.1
MSFT,Microsoft Faces Challenges from Semiconductor Demand,Microsoft (MSFT) faces headwinds from semiconductor demand. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-14,Investor's Business Daily,-0.24
GOOGL,Alphabet Shares Gain 1.7% on Inflation Cooling Faster Than Expected,Alphabet (GOOGL) shares gained 1.7% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-14,Seeking Alpha,0.24
SHOP,Shopify Shares Rally 5.0% on Fed Signals Rate Pause,Shopify (SHOP) shares rallyed 5.0% following Fed signals rate pause. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-14,CNBC,0.52
UBER,"Uber Reports Q1 Revenue of $74.5B, Beating Expectations","Uber announced Q1 2020 revenue of $74.5 billion, surpassing analyst estimates. The company reported earnings per share of $13.31, above consensus. Management raised full-year guidance citing strong demand.",2020-01-14,Seeking Alpha,0.62
MRNA,UBS Increases Moderna Price Target to $249,"UBS analyst increases Moderna (MRNA) price target to $249, citing AI tailwinds. The firm maintains a Overweight rating on the stock.",2020-01-14,Barron's,0.31
SLB,"SLB Reports Q1 Revenue of $86.3B, Beating Expectations","SLB announced Q1 2020 revenue of $86.3 billion, surpassing analyst estimates. The company reported earnings per share of $9.52, above consensus. Management raised full-year guidance citing strong demand.",2020-01-14,Wall Street Journal,0.56
BA,Boeing Shares Surge 2.7% on Earnings Season Surprises To Upside,Boeing (BA) shares surgeed 2.7% following earnings season surprises to upside. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-14,Bloomberg,0.42
NFLX,Barclays Cuts Netflix Price Target to $484,"Barclays analyst cuts Netflix (NFLX) price target to $484, citing slowing growth. The firm maintains a Underweight rating on the stock.",2020-01-15,TipRanks,-0.43
SNOW,"Snowflake Reports Q1 Revenue of $10.1B, Beating Expectations","Snowflake announced Q1 2020 revenue of $10.1 billion, surpassing analyst estimates. The company reported earnings per share of $2.05, above consensus. Management raised full-year guidance citing strong demand.",2020-01-15,AP News,0.64
ABNB,Airbnb Cuts Workforce by 6%,Airbnb announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2020-01-15,Benzinga,-0.22
MS,Barclays Increases Morgan Stanley Price Target to $360,"Barclays analyst increases Morgan Stanley (MS) price target to $360, citing improving fundamentals. The firm maintains a Buy rating on the stock.",2020-01-15,TheStreet,0.68
JNJ,Johnson & Johnson Shares Gain 5.5% on Institutional Investors Increase Equity Allocation,Johnson & Johnson (JNJ) shares gained 5.5% following institutional investors increase equity allocation. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-15,The Motley Fool,0.58
HD,"Home Depot Q1 Earnings Miss Estimates, Revenue Falls Short","Home Depot reported Q1 2020 revenue of $25.7 billion, missing analyst expectations. Earnings per share came in at $4.84, below consensus. Management cited macroeconomic headwinds and cautious consumer spending.",2020-01-15,Forbes,-0.63
CAT,Deutsche Bank Increases Caterpillar Price Target to $374,"Deutsche Bank analyst increases Caterpillar (CAT) price target to $374, citing accelerating revenue growth. The firm maintains a Outperform rating on the stock.",2020-01-15,Bloomberg,0.66
C,Citigroup Cuts Workforce by 5%,Citigroup announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2020-01-16,TheStreet,-0.49
ABBV,JPMorgan Increases AbbVie Price Target to $471,"JPMorgan analyst increases AbbVie (ABBV) price target to $471, citing market share gains. The firm maintains a Buy rating on the stock.",2020-01-16,TipRanks,0.2
WMT,Walmart Reaches $598M Settlement with Federal Reserve,Walmart agreed to pay $598 million to settle regulatory charges brought by the Federal Reserve. The company neither admitted nor denied the allegations.,2020-01-16,Benzinga,-0.18
WMT,Barclays Increases Walmart Price Target to $170,"Barclays analyst increases Walmart (WMT) price target to $170, citing AI tailwinds. The firm maintains a Overweight rating on the stock.",2020-01-16,Investor's Business Daily,0.33
DIS,"Disney Reports Q1 Revenue of $34.3B, Beating Expectations","Disney announced Q1 2020 revenue of $34.3 billion, surpassing analyst estimates. The company reported earnings per share of $11.26, above consensus. Management raised full-year guidance citing strong demand.",2020-01-16,Benzinga,0.39
META,"Meta Platforms Reports Q1 Revenue of $17.1B, Beating Expectations","Meta Platforms announced Q1 2020 revenue of $17.1 billion, surpassing analyst estimates. The company reported earnings per share of $5.95, above consensus. Management raised full-year guidance citing strong demand.",2020-01-17,The Motley Fool,0.77
NFLX,Oppenheimer Boosts Netflix Price Target to $239,"Oppenheimer analyst boosts Netflix (NFLX) price target to $239, citing market share gains. The firm maintains a Buy rating on the stock.",2020-01-17,Seeking Alpha,0.52
UNH,UnitedHealth Shares Gain 4.8% on Earnings Season Surprises To Upside,UnitedHealth (UNH) shares gained 4.8% following earnings season surprises to upside. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-17,Financial Times,0.34
NKE,Stifel Boosts Nike Price Target to $300,"Stifel analyst boosts Nike (NKE) price target to $300, citing improving fundamentals. The firm maintains a Overweight rating on the stock.",2020-01-17,AP News,0.67
MCD,McDonald's Reaches $26M Settlement with EU Commission,McDonald's agreed to pay $26 million to settle regulatory charges brought by the EU Commission. The company neither admitted nor denied the allegations.,2020-01-17,MarketWatch,-0.18
DIS,Disney Shares Climb 1.8% on Consumer Spending Surges,Disney (DIS) shares climbed 1.8% following consumer spending surges. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-17,AP News,0.34
NVDA,"Nvidia Reports Q1 Revenue of $91.5B, Beating Expectations","Nvidia announced Q1 2020 revenue of $91.5 billion, surpassing analyst estimates. The company reported earnings per share of $0.6, above consensus. Management raised full-year guidance citing strong demand.",2020-01-20,Wall Street Journal,0.84
META,Meta Platforms Positioned to Benefit from Cybersecurity Spending,Analysts see Meta Platforms (META) as well-positioned to benefit from cybersecurity spending. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2020-01-20,Investor's Business Daily,0.4
AMD,"AMD Launches Mobile App Update, Shares Jump","AMD unveiled its new mobile app update at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with AMD's strategic growth priorities.",2020-01-20,Business Insider,0.24
CRM,"Salesforce Launches Analytics Dashboard, Shares Rise","Salesforce unveiled its new analytics dashboard at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Salesforce's strategic growth priorities.",2020-01-20,Financial Times,0.27
SQ,Block Receives Regulatory Approval for expansion,"Block received regulatory approval, clearing a key hurdle for growth. The approval was widely expected but removes a source of uncertainty for investors.",2020-01-20,BBC Business,0.38
SHOP,"Shopify Reports Q1 Revenue of $64.1B, Beating Expectations","Shopify announced Q1 2020 revenue of $64.1 billion, surpassing analyst estimates. The company reported earnings per share of $3.34, above consensus. Management raised full-year guidance citing strong demand.",2020-01-20,Investor's Business Daily,0.83
SNOW,UBS Boosts Snowflake Price Target to $190,"UBS analyst boosts Snowflake (SNOW) price target to $190, citing margin expansion. The firm maintains a Outperform rating on the stock.",2020-01-20,Zacks,0.6
UBER,"Uber Raises Dividend by 21%, Announces $42B Buyback",Uber increased its quarterly dividend by 21% and authorized a $42 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-20,Bloomberg,0.41
UBER,Needham Reduces Uber Price Target to $400,"Needham analyst reduces Uber (UBER) price target to $400, citing execution risks. The firm maintains a Hold rating on the stock.",2020-01-20,Benzinga,-0.58
COIN,"Coinbase Reports Q1 Revenue of $11.3B, Beating Expectations","Coinbase announced Q1 2020 revenue of $11.3 billion, surpassing analyst estimates. The company reported earnings per share of $7.29, above consensus. Management raised full-year guidance citing strong demand.",2020-01-20,Barron's,0.72
V,Visa Shares Rally 3.6% on Market Breadth Improves,Visa (V) shares rallyed 3.6% following market breadth improves. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-20,BBC Business,0.39
TMO,Thermo Fisher Faces Challenges from Drug Pricing Reform,Thermo Fisher (TMO) faces headwinds from drug pricing reform. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-20,BBC Business,-0.33
TMO,"Thermo Fisher Reports Q1 Revenue of $56.0B, Beating Expectations","Thermo Fisher announced Q1 2020 revenue of $56.0 billion, surpassing analyst estimates. The company reported earnings per share of $6.17, above consensus. Management raised full-year guidance citing strong demand.",2020-01-20,TheStreet,0.78
MRK,Merck Shares Gain 1.2% on Market Breadth Improves,Merck (MRK) shares gained 1.2% following market breadth improves. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-20,AP News,0.58
BMY,Credit Suisse Cuts Bristol-Myers Squibb Price Target to $274,"Credit Suisse analyst cuts Bristol-Myers Squibb (BMY) price target to $274, citing valuation concerns. The firm maintains a Neutral rating on the stock.",2020-01-20,CNBC,-0.26
XOM,Deutsche Bank Boosts ExxonMobil Price Target to $456,"Deutsche Bank analyst boosts ExxonMobil (XOM) price target to $456, citing AI tailwinds. The firm maintains a Outperform rating on the stock.",2020-01-20,Zacks,0.53
OXY,Occidental Petroleum Reaches $956M Settlement with CFTC,Occidental Petroleum agreed to pay $956 million to settle regulatory charges brought by the CFTC. The company neither admitted nor denied the allegations.,2020-01-20,TechCrunch,-0.21
WMT,"Walmart Reports Q1 Revenue of $51.3B, Beating Expectations","Walmart announced Q1 2020 revenue of $51.3 billion, surpassing analyst estimates. The company reported earnings per share of $14.48, above consensus. Management raised full-year guidance citing strong demand.",2020-01-20,Forbes,0.72
HD,Home Depot Faces Challenges from E-Commerce Penetration,Home Depot (HD) faces headwinds from e-commerce penetration. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-20,TechCrunch,-0.08
MCD,"McDonald's Reports Q1 Revenue of $33.0B, Beating Expectations","McDonald's announced Q1 2020 revenue of $33.0 billion, surpassing analyst estimates. The company reported earnings per share of $12.92, above consensus. Management raised full-year guidance citing strong demand.",2020-01-20,CNBC,0.82
LMT,"Lockheed Martin Raises Dividend by 18%, Announces $3B Buyback",Lockheed Martin increased its quarterly dividend by 18% and authorized a $3 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-20,Business Insider,0.72
NFLX,Bank of America Raises Netflix Price Target to $382,"Bank of America analyst raises Netflix (NFLX) price target to $382, citing market share gains. The firm maintains a Buy rating on the stock.",2020-01-21,Bloomberg,0.63
ABNB,"Airbnb Raises Dividend by 11%, Announces $23B Buyback",Airbnb increased its quarterly dividend by 11% and authorized a $23 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-22,MarketWatch,0.44
V,Visa Shares Surge 5.3% on M&A Activity Picks Up,Visa (V) shares surgeed 5.3% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-22,Wall Street Journal,0.39
PFE,Oppenheimer Cuts Pfizer Price Target to $127,"Oppenheimer analyst cuts Pfizer (PFE) price target to $127, citing macroeconomic uncertainty. The firm maintains a Neutral rating on the stock.",2020-01-22,Reuters,-0.21
BMY,"Bristol-Myers Squibb Launches Medical Device, Shares Rise","Bristol-Myers Squibb unveiled its new medical device at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Bristol-Myers Squibb's strategic growth priorities.",2020-01-22,Bloomberg,0.37
PYPL,PayPal Board Approves New Strategic Plan,"PayPal's board of directors approved a three-year strategic plan focusing on core business growth, margin improvement, and capital returns to shareholders.",2020-01-23,Zacks,0.22
SQ,Block Positioned to Benefit from Saas Adoption,Analysts see Block (SQ) as well-positioned to benefit from SaaS adoption. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2020-01-23,Benzinga,0.25
ABNB,Airbnb Shares Surge 1.5% on Inflation Cooling Faster Than Expected,Airbnb (ABNB) shares surgeed 1.5% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-23,Zacks,0.5
COIN,JPMorgan Cuts Coinbase Price Target to $388,"JPMorgan analyst cuts Coinbase (COIN) price target to $388, citing valuation concerns. The firm maintains a Underweight rating on the stock.",2020-01-23,Barron's,-0.39
BRK-B,Berkshire Hathaway Shares Rally 1.2% on Gdp Growth Beats Expectations,Berkshire Hathaway (BRK-B) shares rallyed 1.2% following GDP growth beats expectations. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-23,Yahoo Finance,0.65
MRNA,"Moderna Reports Q1 Revenue of $87.9B, Beating Expectations","Moderna announced Q1 2020 revenue of $87.9 billion, surpassing analyst estimates. The company reported earnings per share of $2.47, above consensus. Management raised full-year guidance citing strong demand.",2020-01-23,Benzinga,0.83
COST,Costco Positioned to Benefit from Consumer Spending Trends,Analysts see Costco (COST) as well-positioned to benefit from consumer spending trends. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2020-01-23,MarketWatch,0.17
MCD,Piper Sandler Lowers McDonald's Price Target to $223,"Piper Sandler analyst lowers McDonald's (MCD) price target to $223, citing regulatory headwinds. The firm maintains a Hold rating on the stock.",2020-01-23,The Motley Fool,-0.37
SQ,Stifel Raises Block Price Target to $168,"Stifel analyst raises Block (SQ) price target to $168, citing strong growth outlook. The firm maintains a Outperform rating on the stock.",2020-01-24,TipRanks,0.29
SNOW,"Snowflake Q1 Earnings Miss Estimates, Revenue Falls Short","Snowflake reported Q1 2020 revenue of $63.4 billion, missing analyst expectations. Earnings per share came in at $13.24, below consensus. Management cited macroeconomic headwinds and cautious consumer spending.",2020-01-24,AP News,-0.54
SNOW,"Snowflake Raises Dividend by 15%, Announces $36B Buyback",Snowflake increased its quarterly dividend by 15% and authorized a $36 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-24,MarketWatch,0.69
V,Visa Shares Surge 2.1% on Institutional Investors Increase Equity Allocation,Visa (V) shares surgeed 2.1% following institutional investors increase equity allocation. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-24,TechCrunch,0.22
AXP,American Express Board Approves New Strategic Plan,"American Express's board of directors approved a three-year strategic plan focusing on core business growth, margin improvement, and capital returns to shareholders.",2020-01-24,Yahoo Finance,0.33
JNJ,"Johnson & Johnson Launches Gene Therapy, Shares Jump","Johnson & Johnson unveiled its new gene therapy at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Johnson & Johnson's strategic growth priorities.",2020-01-24,Yahoo Finance,0.53
ABBV,Citigroup Increases AbbVie Price Target to $174,"Citigroup analyst increases AbbVie (ABBV) price target to $174, citing improving fundamentals. The firm maintains a Overweight rating on the stock.",2020-01-24,Forbes,0.21
GILD,"Gilead Sciences Launches Clinical Trial Results, Shares Jump","Gilead Sciences unveiled its new clinical trial results at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Gilead Sciences's strategic growth priorities.",2020-01-24,TipRanks,0.57
GILD,Gilead Sciences Cuts Workforce by 12%,Gilead Sciences announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2020-01-24,TipRanks,-0.43
